%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1457888162207915166,1.20765471458,1.21153700352,0.0,0.0,0.0,0.0,0.0
1457888162209881908,1.20803201199,1.21165394783,0.0,0.0,0.0,0.0,0.0
1457888162211846572,1.20822417736,1.21164727211,0.0,0.0,0.0,0.0,0.0
1457888162213908047,1.20832657814,1.21161258221,0.0,0.0,0.0,0.0,0.0
1457888162215887942,1.20838332176,1.21157944202,0.0,0.0,0.0,0.0,0.0
1457888162217895670,1.20841562748,1.21155452728,0.0,0.0,0.0,0.0,0.0
1457888162219898327,1.20843446255,1.21153748035,0.0,0.0,0.0,0.0,0.0
1457888162221862433,1.20844566822,1.21152627468,0.0,0.0,0.0,0.0,0.0
1457888162223852668,1.20845234394,1.21151924133,0.0,0.0,0.0,0.0,0.0
1457888162225887010,1.20720613003,1.21264541149,0.0,0.0,0.0,0.0,0.0
1457888162227944610,1.20646572113,1.21338117123,0.0,0.0,0.0,0.0,0.0
1457888162229881489,1.20602154732,1.21384930611,0.0,0.0,0.0,0.0,0.0
1457888162231890791,1.20575356483,1.21414232254,0.0,0.0,0.0,0.0,0.0
1457888162233859959,1.20559132099,1.2143239975,0.0,0.0,0.0,0.0,0.0
1457888162235859023,1.20169568062,1.2095335722,0.0,0.0,0.0,0.0,0.0
1457888162237900724,1.19995343685,1.2079154253,0.0,0.0,0.0,0.0,0.0
1457888162239845699,1.19914209843,1.20743560791,0.0,0.0,0.0,0.0,0.0
1457888162241872604,1.19874644279,1.20734012127,0.0,0.0,0.0,0.0,0.0
1457888162243837485,1.19854414463,1.2073584795,0.0,0.0,0.0,0.0,0.0
1457888162245829363,1.19592237473,1.20967543125,0.0,0.0,0.0,0.0,0.0
1457888162247925053,1.19437503815,1.21118223667,0.0,0.0,0.0,0.0,0.0
1457888162249873717,1.19345211983,1.21213531494,0.0,0.0,0.0,0.0,0.0
1457888162251867440,1.19289886951,1.21272790432,0.0,0.0,0.0,0.0,0.0
1457888162253864129,1.1925662756,1.21309256554,0.0,0.0,0.0,0.0,0.0
1457888162255846533,1.19236588478,1.21331560612,0.0,0.0,0.0,0.0,0.0
1457888162257882713,1.19224500656,1.2134513855,0.0,0.0,0.0,0.0,0.0
1457888162259849713,1.19217205048,1.21353387833,0.0,0.0,0.0,0.0,0.0
1457888162261922163,1.19212806225,1.21358394623,0.0,0.0,0.0,0.0,0.0
1457888162263837301,1.19210135937,1.21361422539,0.0,0.0,0.0,0.0,0.0
1457888162265883850,1.20103335381,1.23053812981,0.0,0.0,0.0,0.0,0.0
1457888162267884855,1.20448362827,1.23713123798,0.0,0.0,0.0,0.0,0.0
1457888162269881534,1.20583021641,1.23969221115,0.0,0.0,0.0,0.0,0.0
1457888162271888325,1.20635974407,1.24068403244,0.0,0.0,0.0,0.0,0.0
1457888162273887663,1.20656943321,1.24106657505,0.0,0.0,0.0,0.0,0.0
1457888162275855345,1.20665335655,1.24121320248,0.0,0.0,0.0,0.0,0.0
1457888162277934573,1.20668745041,1.24126887321,0.0,0.0,0.0,0.0,0.0
1457888162279874991,1.20670151711,1.24128961563,0.0,0.0,0.0,0.0,0.0
1457888162281852728,1.20670759678,1.24129712582,0.0,0.0,0.0,0.0,0.0
1457888162283841204,1.20671021938,1.24129974842,0.0,0.0,0.0,0.0,0.0
1457888162285894106,1.20671141148,1.24130058289,0.0,0.0,0.0,0.0,0.0
1457888162287833665,1.20543861389,1.2424325943,0.0,0.0,0.0,0.0,0.0
1457888162289853489,1.20467889309,1.24316906929,0.0,0.0,0.0,0.0,0.0
1457888162291849757,1.20422124863,1.24363684654,0.0,0.0,0.0,0.0,0.0
1457888162293888005,1.20394420624,1.24392962456,0.0,0.0,0.0,0.0,0.0
1457888162295851327,1.20377588272,1.24411118031,0.0,0.0,0.0,0.0,0.0
1457888162297901482,1.20367348194,1.24422323704,0.0,0.0,0.0,0.0,0.0
1457888162299888690,1.20361101627,1.24429214001,0.0,0.0,0.0,0.0,0.0
1457888162301872600,1.2035728693,1.2443343401,0.0,0.0,0.0,0.0,0.0
1457888162303837352,1.20354962349,1.24436032772,0.0,0.0,0.0,0.0,0.0
1457888162305928632,1.20353531837,1.24437618256,0.0,0.0,0.0,0.0,0.0
1457888162307883378,1.19969046116,1.24778842926,0.0,0.0,0.0,0.0,0.0
1457888162309873445,1.1973927021,1.24999821186,0.0,0.0,0.0,0.0,0.0
1457888162311936156,1.19600534439,1.2513961792,0.0,0.0,0.0,0.0,0.0
1457888162313887456,1.19516503811,1.25226736069,0.0,0.0,0.0,0.0,0.0
1457888162315884278,1.19465529919,1.252805233,0.0,0.0,0.0,0.0,0.0
1457888162317883107,1.19434583187,1.25313556194,0.0,0.0,0.0,0.0,0.0
1457888162319885644,1.19415783882,1.25333762169,0.0,0.0,0.0,0.0,0.0
1457888162321882371,1.19404363632,1.2534610033,0.0,0.0,0.0,0.0,0.0
1457888162323881144,1.19397413731,1.25353622437,0.0,0.0,0.0,0.0,0.0
